Event ID	Station	Type	Date	Exact Start Time	Exact End Time	Window Start Time (-15 min)	Window End Time (+ 15 min)	Window Start Date/Time (Local)	Window End Date/Time (Local)	Window Start Date/Time (UTC)	Window End Date/Time (UTC)	Survey	Sighting	IDs	Notes
VS_25	PSB	V_Sighting	5/10/2018	12:38:00 PM	12:41:00 PM	12:23:00 PM	12:56:00 PM	5/10/2018 12:23	5/10/2018 12:56	5/10/2018 16:23	5/10/2018 16:56	8531	9	F215, 2153, F272, 1373, F274, F243	
VS_26	PSB	V_Sighting	5/12/2018	12:33:00 PM	1:02:00 PM	12:18:00 PM	1:17:00 PM	5/12/2018 12:18	5/12/2018 13:17	5/12/2018 16:18	5/12/2018 17:17	8535	62	F222	
VS_27	PSB	V_Sighting	5/12/2018	1:02:00 PM	1:23:00 PM	12:47:00 PM	1:38:00 PM	5/12/2018 12:47	5/12/2018 13:38	5/12/2018 16:47	5/12/2018 17:38	8535	63	F222, F272, F243	
VS_28	PSB	V_Sighting	5/22/2018	11:47:00 AM	12:11:00 PM	11:32:00 AM	12:26:00 PM	5/22/2018 11:32	5/22/2018 12:26	5/22/2018 15:32	5/22/2018 16:26	8538	62	F123, F197, F291, F222, F173	
VS_29	PSB	V_Sighting	5/22/2018	12:11:00 PM	12:45:00 PM	11:56:00 AM	1:00:00 PM	5/22/2018 11:56	5/22/2018 13:00	5/22/2018 15:56	5/22/2018 17:00	8538	63	F173, F222, F197, F291, F209, 2092, F123, F243, 2271	
VS_30	PSB	V_Sighting	5/22/2018	12:45:00 PM	1:53:00 PM	12:30:00 PM	2:08:00 PM	5/22/2018 12:30	5/22/2018 14:08	5/22/2018 16:30	5/22/2018 18:08	8538	64	F173, F197, F222, F291, F123, F243, F137, 1373, 1374, 2271, 2151, FB92	
VS_31	PSB	V_Sighting	5/23/2018	9:58:00 AM	10:41:00 AM	9:43:00 AM	10:56:00 AM	5/23/2018 9:43	5/23/2018 10:56	5/23/2018 13:43	5/23/2018 14:56	8593	62	F123, F233, F243, F222, F173, F197, F291, F282, F272	
VS_32	PSB	V_Sighting	5/23/2018	10:41:00 AM	11:17:00 AM	10:26:00 AM	11:32:00 AM	5/23/2018 10:26	5/23/2018 11:32	5/23/2018 14:26	5/23/2018 15:32	8593	63	F222, F173, F197, F291, F243, F123, F282, F209, 2092, F155, 1557, F272	
VS_33	PSB	V_Sighting	5/23/2018	1:17:00 PM	2:37:00 PM	1:02:00 PM	2:52:00 PM	5/23/2018 13:02	5/23/2018 14:52	5/23/2018 17:02	5/23/2018 18:52	8593	66	F142, 1494, F137, 1373, 1374, F276, F222, F173, F197, F291, F243, F274, C912, F123, F246, F133, 1332, F263, FB07, F232	
VS_34	PSB	V_Sighting	5/25/2018	9:45:00 AM	11:12:00 AM	9:30:00 AM	11:27:00 AM	5/25/2018 9:30	5/25/2018 11:27	5/25/2018 13:30	5/25/2018 15:27	8540	62	F222, F123, F197, F291, F173, F209, 2092, 1373	
VS_35	PSB	V_Sighting	6/1/2018	11:28:00 AM	11:36:00 AM	11:13:00 AM	11:51:00 AM	6/1/2018 11:13	6/1/2018 11:51	6/1/2018 15:13	6/1/2018 15:51	8541	6	F222, F196, F197, F291, 2092, 1373	
VS_36	PSB	V_Sighting	6/1/2018	11:37:00 AM	11:42:00 AM	11:22:00 AM	11:57:00 AM	6/1/2018 11:22	6/1/2018 11:57	6/1/2018 15:22	6/1/2018 15:57	8541	7	F123	
VS_38	PSB	V_Sighting	6/6/2018	11:14:00 AM	11:49:00 AM	10:59:00 AM	12:04:00 PM	6/6/2018 10:59	6/6/2018 12:04	6/6/2018 14:59	6/6/2018 16:04	8850	62	F235, F233, F146, F228, F243, F282, F220, F222, F197, F291, 1373, F173	
VS_37	PSB	V_Sighting	6/6/2018	11:46:00 AM	11:53:00 AM	11:31:00 AM	12:08:00 PM	6/6/2018 11:31	6/6/2018 12:08	6/6/2018 15:31	6/6/2018 16:08	8549	6	F197, F291	
VS_39	PSB	V_Sighting	6/7/2018	2:50:00 PM	2:55:00 PM	2:35:00 PM	3:10:00 PM	6/7/2018 14:35	6/7/2018 15:10	6/7/2018 18:35	6/7/2018 19:10	8553	65	F179, F133, 1332	
VS_40	PSB	V_Sighting	6/8/2018	11:10:00 AM	11:20:00 AM	10:55:00 AM	11:35:00 AM	6/8/2018 10:55	6/8/2018 11:35	6/8/2018 14:55	6/8/2018 15:35	8556	63	F222, F243, F197, F291, F146, F228, HWK3, F233, F235, F173	
VS_41	PSB	V_Sighting	6/9/2018	4:38:00 PM	4:44:00 PM	4:23:00 PM	4:59:00 PM	6/9/2018 16:23	6/9/2018 16:59	6/9/2018 20:23	6/9/2018 20:59	8558	67	F268, F196	
DT_1	Tarawitt	DTAG	6/11/2018	2:10:00 PM	2:25:00 PM	1:55:00 PM	2:40:00 PM	6/11/2018 13:55	6/11/2018 14:40	6/11/2018 17:55	6/11/2018 18:40	NA	NA	F213, F308	F213 and calf F308 tagged - near Tarawitt station starting ~14:10 to 14:25 local time (end of follow feeding near station)
VS_42	PSB	V_Sighting	6/14/2018	8:46:00 AM	11:15:00 AM	8:31:00 AM	11:30:00 AM	6/14/2018 8:31	6/14/2018 11:30	6/14/2018 12:31	6/14/2018 15:30	8567	61	F222, F173, F197, F291, F209, 2092, 1373, F125, 1255, 1254	
VS_43	PSB	V_Sighting	6/15/2018	1:50:00 PM	3:49:00 PM	1:35:00 PM	4:04:00 PM	6/15/2018 13:35	6/15/2018 16:04	6/15/2018 17:35	6/15/2018 20:04	8569	61	F220, F243, F247, F222	
VS_44	PSB	V_Sighting	6/17/2018	12:42:00 PM	2:59:00 PM	12:27:00 PM	3:14:00 PM	6/17/2018 12:27	6/17/2018 15:14	6/17/2018 16:27	6/17/2018 19:14	8572	104	F197, F291, F125, 1254, F222, 1255, F213, F308, F276, F142	F243 is also possibly here (DU)
VS_45	PSB	V_Sighting	6/20/2018	10:28:00 AM	12:02:00 PM	10:13:00 AM	12:17:00 PM	6/20/2018 10:13	6/20/2018 12:17	6/20/2018 14:13	6/20/2018 16:17	8576	62	F196, F268	
VS_46	PSB	V_Sighting	6/20/2018	11:10:00 AM	11:38:00 AM	10:55:00 AM	11:53:00 AM	6/20/2018 10:55	6/20/2018 11:53	6/20/2018 14:55	6/20/2018 15:53	8578	201	F222, 1373	land obs
VS_47	PSB	V_Sighting	6/20/2018	12:13:00 PM	12:24:00 PM	11:58:00 AM	12:39:00 PM	6/20/2018 11:58	6/20/2018 12:39	6/20/2018 15:58	6/20/2018 16:39	8578	202	F222, 1373	land obs
VS_48	PSB	V_Sighting	6/20/2018	3:49:00 PM	4:15:00 PM	3:34:00 PM	4:30:00 PM	6/20/2018 15:34	6/20/2018 16:30	6/20/2018 19:34	6/20/2018 20:30	8578	204	F146, F243, F247	land obs
VS_49	PSB	V_Sighting	6/22/2018	10:16:00 AM	11:12:00 AM	10:01:00 AM	11:27:00 AM	6/22/2018 10:01	6/22/2018 11:27	6/22/2018 14:01	6/22/2018 15:27	8579	101	F222	land obs
VS_50	PSB	V_Sighting	6/22/2018	3:23:00 PM	3:38:00 PM	3:08:00 PM	3:53:00 PM	6/22/2018 15:08	6/22/2018 15:53	6/22/2018 19:08	6/22/2018 19:53	8579	102	F272	F256 is also possibly here (DU)
VS_51	PSB	V_Sighting	6/26/2018	11:15:00 AM	11:28:00 AM	11:00:00 AM	11:43:00 AM	6/26/2018 11:00	6/26/2018 11:43	6/26/2018 15:00	6/26/2018 15:43	8581	4	F197, F291, F146, F222	
