Filename	Path	Whistle Date	Time numbers	Time (UTC)	Time (EST)	Date and time (EST)	Event ID	Survey #	Sighting #	Sighting Start Time (EST)	Sighting End Time (EST)	Dolphin IDs	Camera?	Notes (VS)
_2018-06-21T232433_sel.10.33.06.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	232433	11:24:33 PM	3:24:33 AM									
_2018-06-21T232433_sel.10.33.06.W_D_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Downsweep_Verified\no matches yet\	6/21/2018	232433	11:24:33 PM	3:24:33 AM									
_2018-06-21T232517_sel.01.17.22.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	232517	11:25:17 PM	3:25:17 AM									
_2018-06-21T232517_sel.01.17.22.W_243_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB243_Verified\	6/21/2018	232517	11:25:17 PM	3:25:17 AM									
_2018-06-21T232557_sel.04.57.26.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	232557	11:25:57 PM	3:25:57 AM									
_2018-06-21T232557_sel.04.57.26.W_243_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB243_Verified\	6/21/2018	232557	11:25:57 PM	3:25:57 AM									
_2018-06-21T232559_sel.05.59.47.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	232559	11:25:59 PM	3:25:59 AM									
_2018-06-21T232559_sel.05.59.47.W_243_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB243_Verified\	6/21/2018	232559	11:25:59 PM	3:25:59 AM									
_2018-06-21T232602_sel.09.02.50.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	232602	11:26:02 PM	3:26:02 AM									
_2018-06-21T232602_sel.09.02.50.W_D_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Downsweep_Verified\Generally Down\	6/21/2018	232602	11:26:02 PM	3:26:02 AM									
_2018-06-21T233944_sel.03.44.74.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	233944	11:39:44 PM	3:39:44 AM									
_2018-06-21T233944_sel.03.44.74.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/21/2018	233944	11:39:44 PM	3:39:44 AM									
_2018-06-21T234932_sel.04.32.54.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	234932	11:49:32 PM	3:49:32 AM									
_2018-06-21T234932_sel.04.32.54.W_C_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Chirp\	6/21/2018	234932	11:49:32 PM	3:49:32 AM									
_2018-06-21T234932_sel.04.32.54.W_UP_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Upsweep\	6/21/2018	234932	11:49:32 PM	3:49:32 AM									
_2018-06-21T235200_sel.01.00.10.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/21/2018	235200	11:52:00 PM	3:52:00 AM									
_2018-06-21T235200_sel.01.00.10.W_S_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Sinusoidal_Verified\no matches yet\	6/21/2018	235200	11:52:00 PM	3:52:00 AM									
_2018-06-22T104711_sel.01.11.99.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	104711	10:47:11 AM	2:47:11 PM									
_2018-06-22T104711_sel.01.11.99.W_U_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\U_Verified\V\	6/22/2018	104711	10:47:11 AM	2:47:11 PM									
_2018-06-22T104756_sel.02.56.75.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	104756	10:47:56 AM	2:47:56 PM									
_2018-06-22T104756_sel.02.56.75.W_H_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Hill_Verified\no matches yet\	6/22/2018	104756	10:47:56 AM	2:47:56 PM									
_2018-06-22T104912_sel.04.12.09.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	104912	10:49:12 AM	2:49:12 PM									
_2018-06-22T104912_sel.04.12.09.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	104912	10:49:12 AM	2:49:12 PM									
_2018-06-22T105051_sel.02.51.13.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	105051	10:50:51 AM	2:50:51 PM									
_2018-06-22T105051_sel.02.51.13.W_197_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB197_Verified\	6/22/2018	105051	10:50:51 AM	2:50:51 PM									
_2018-06-22T105054_sel.03.54.97.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	105054	10:50:54 AM	2:50:54 PM									
_2018-06-22T105054_sel.03.54.97.W_197_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\FB197_Verified\	6/22/2018	105054	10:50:54 AM	2:50:54 PM									
_2018-06-22T105225_sel.07.25.64.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	105225	10:52:25 AM	2:52:25 PM									
